molecular_weight_kda,monomer_type,backbone_type,linkage_type,branching_category,source_kingdom,solubility_category,charge_character,sulfation_present,acetylation_present,is_heteropolymer,degree_of_polymerization_log,crystallinity_category,viscosity_category,known_medical_use,known_food_use,biodegradable,biocompatible,xcomplexity_norm,hb_acceptors,functional_category,data_source,citation_note
147.18,Glucose,Glucose,Beta-1-4,Linear,Plant,Insoluble,Neutral,0,0,0,3.925,High,Low,0,1,1,1,0.245,39,Structural,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.59,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.696,Amorphous,Low,1,0,1,1,0.584,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.12,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.578,Amorphous,Low,1,0,1,1,0.565,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.39,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.645,Amorphous,Low,1,0,1,1,0.576,52,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.84,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.758,Amorphous,Low,1,0,1,1,0.593,54,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.72,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.981,Amorphous,Low,1,0,1,1,0.629,57,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.81,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.006,Amorphous,Low,1,0,1,1,0.632,57,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
13.89,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.519,Amorphous,Low,1,0,1,1,0.556,50,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.02,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.806,Amorphous,Low,1,0,1,1,0.601,55,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.81,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.753,Amorphous,Low,1,0,1,1,0.593,54,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.37,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.642,Amorphous,Low,1,0,1,1,0.575,52,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.14,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.583,Amorphous,Low,1,0,1,1,0.566,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.63,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.707,Amorphous,Low,1,0,1,1,0.585,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
16.0,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.052,Amorphous,Low,1,0,1,1,0.64,58,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.6,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.699,Amorphous,Low,1,0,1,1,0.584,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.04,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.811,Amorphous,Low,1,0,1,1,0.602,55,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
15.46,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.916,Amorphous,Low,1,0,1,1,0.618,56,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
14.69,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.722,Amorphous,Low,1,0,1,1,0.588,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
16.06,GlcA,GlcA,Alpha-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.069,Amorphous,Low,1,0,1,1,0.642,58,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2138.73,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.347,Amorphous,High,1,0,1,1,0.588,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1925.53,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.814,Amorphous,High,1,0,1,1,0.53,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1999.17,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.998,Amorphous,High,1,0,1,1,0.55,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1940.26,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.851,Amorphous,High,1,0,1,1,0.534,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1935.45,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.839,Amorphous,High,1,0,1,1,0.532,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1861.07,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.653,Amorphous,High,1,0,1,1,0.512,46,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2032.87,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.082,Amorphous,High,1,0,1,1,0.559,50,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2000.8,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.002,Amorphous,High,1,0,1,1,0.55,50,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1865.44,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.664,Amorphous,High,1,0,1,1,0.513,46,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1933.59,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.834,Amorphous,High,1,0,1,1,0.532,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2122.48,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.306,Amorphous,High,1,0,1,1,0.584,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1921.87,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.805,Amorphous,High,1,0,1,1,0.529,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1893.47,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.734,Amorphous,High,1,0,1,1,0.521,47,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1996.84,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.992,Amorphous,High,1,0,1,1,0.549,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2145.7,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.364,Amorphous,High,1,0,1,1,0.59,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1922.62,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.807,Amorphous,High,1,0,1,1,0.529,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2051.64,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.129,Amorphous,High,1,0,1,1,0.564,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2078.49,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.196,Amorphous,High,1,0,1,1,0.572,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
1921.29,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,4.803,Amorphous,High,1,0,1,1,0.528,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
2068.46,GlcA,GlcA,Beta-1-4,Linear,Animal,Soluble,Anionic,0,1,1,5.171,Amorphous,High,1,0,1,1,0.569,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
49.01,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.921,Amorphous,Medium,1,0,1,1,0.568,50,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
50.99,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.079,Amorphous,Medium,1,0,1,1,0.592,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
51.0,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.08,Amorphous,Medium,1,0,1,1,0.592,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
50.27,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.021,Amorphous,Medium,1,0,1,1,0.583,52,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
46.93,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.754,Amorphous,Medium,1,0,1,1,0.544,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
52.51,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.201,Amorphous,Medium,1,0,1,1,0.609,54,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
48.66,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.892,Amorphous,Medium,1,0,1,1,0.564,50,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
47.65,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.812,Amorphous,Medium,1,0,1,1,0.553,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
46.56,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.724,Amorphous,Medium,1,0,1,1,0.54,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
50.68,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.055,Amorphous,Medium,1,0,1,1,0.588,52,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
51.33,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.107,Amorphous,Medium,1,0,1,1,0.595,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
46.37,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.71,Amorphous,Medium,1,0,1,1,0.538,48,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
50.09,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.007,Amorphous,Medium,1,0,1,1,0.581,52,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
47.95,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.836,Amorphous,Medium,1,0,1,1,0.556,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
51.09,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.087,Amorphous,Medium,1,0,1,1,0.593,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
47.56,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.805,Amorphous,Medium,1,0,1,1,0.552,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
51.43,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.115,Amorphous,Medium,1,0,1,1,0.597,53,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
49.15,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.932,Amorphous,Medium,1,0,1,1,0.57,51,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
53.28,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,4.262,Amorphous,Medium,1,0,1,1,0.618,55,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
47.28,GalNAc,GalNAc,Beta-1-4,Linear,Animal,Soluble,Anionic,1,1,1,3.783,Amorphous,Medium,1,0,1,1,0.548,49,Bioactive,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
97.62,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.1,Amorphous,High,0,1,1,1,0.312,43,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
94.2,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,3.956,Amorphous,High,0,1,1,1,0.301,42,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.37,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.468,Amorphous,High,0,1,1,1,0.34,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
105.66,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.438,Amorphous,High,0,1,1,1,0.338,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
96.37,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.048,Amorphous,High,0,1,1,1,0.308,43,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
102.4,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.301,Amorphous,High,0,1,1,1,0.328,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
104.76,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.4,Amorphous,High,0,1,1,1,0.335,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
100.83,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.235,Amorphous,High,0,1,1,1,0.323,45,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
100.44,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.219,Amorphous,High,0,1,1,1,0.321,45,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
96.13,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.037,Amorphous,High,0,1,1,1,0.308,43,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
93.9,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,3.944,Amorphous,High,0,1,1,1,0.3,42,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
105.96,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.45,Amorphous,High,0,1,1,1,0.339,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.01,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.452,Amorphous,High,0,1,1,1,0.339,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
102.0,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.284,Amorphous,High,0,1,1,1,0.326,45,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
97.59,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.099,Amorphous,High,0,1,1,1,0.312,43,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
97.74,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.105,Amorphous,High,0,1,1,1,0.313,43,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
103.39,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.342,Amorphous,High,0,1,1,1,0.331,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
105.81,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.444,Amorphous,High,0,1,1,1,0.339,47,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
104.2,GlcA,GlcA,Alpha-1-4,Moderate_Branched,Plant,Soluble,Anionic,0,1,1,4.376,Amorphous,High,0,1,1,1,0.333,46,Storage,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
122.56,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.392,Medium,Gel_forming,1,1,1,1,0.286,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
112.51,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.032,Medium,Gel_forming,1,1,1,1,0.263,35,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
113.91,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.082,Medium,Gel_forming,1,1,1,1,0.266,36,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
127.17,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.557,Medium,Gel_forming,1,1,1,1,0.297,40,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
121.92,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.369,Medium,Gel_forming,1,1,1,1,0.284,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
111.17,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,3.983,Medium,Gel_forming,1,1,1,1,0.259,35,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
112.83,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.043,Medium,Gel_forming,1,1,1,1,0.263,35,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
122.94,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.405,Medium,Gel_forming,1,1,1,1,0.287,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
111.09,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,3.981,Medium,Gel_forming,1,1,1,1,0.259,35,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
113.89,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.081,Medium,Gel_forming,1,1,1,1,0.266,36,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
120.88,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.331,Medium,Gel_forming,1,1,1,1,0.282,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
123.45,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.424,Medium,Gel_forming,1,1,1,1,0.288,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
122.74,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.398,Medium,Gel_forming,1,1,1,1,0.286,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
115.04,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.122,Medium,Gel_forming,1,1,1,1,0.268,36,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
123.82,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.437,Medium,Gel_forming,1,1,1,1,0.289,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
115.27,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.131,Medium,Gel_forming,1,1,1,1,0.269,36,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
116.86,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.187,Medium,Gel_forming,1,1,1,1,0.273,37,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
124.44,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.459,Medium,Gel_forming,1,1,1,1,0.29,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
122.69,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.397,Medium,Gel_forming,1,1,1,1,0.286,38,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
126.29,Galactose,Galactose,Mixed,Linear,Algae,Soluble_Hot,Neutral,1,0,1,4.525,Medium,Gel_forming,1,1,1,1,0.295,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
409.46,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.606,Medium,Gel_forming,0,1,1,1,0.338,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
404.1,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.546,Medium,Gel_forming,0,1,1,1,0.333,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
375.62,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.226,Medium,Gel_forming,0,1,1,1,0.31,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
392.06,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.411,Medium,Gel_forming,0,1,1,1,0.323,41,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
385.91,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.342,Medium,Gel_forming,0,1,1,1,0.318,40,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
384.64,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.327,Medium,Gel_forming,0,1,1,1,0.317,40,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
428.38,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.819,Medium,Gel_forming,0,1,1,1,0.353,44,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
393.59,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.428,Medium,Gel_forming,0,1,1,1,0.325,41,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
423.52,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.765,Medium,Gel_forming,0,1,1,1,0.349,44,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
407.87,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.589,Medium,Gel_forming,0,1,1,1,0.336,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
417.69,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.699,Medium,Gel_forming,0,1,1,1,0.345,43,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
400.16,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.502,Medium,Gel_forming,0,1,1,1,0.33,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
404.61,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.552,Medium,Gel_forming,0,1,1,1,0.334,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
399.55,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.495,Medium,Gel_forming,0,1,1,1,0.33,41,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
381.71,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.294,Medium,Gel_forming,0,1,1,1,0.315,40,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
413.35,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.65,Medium,Gel_forming,0,1,1,1,0.341,43,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
386.85,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.352,Medium,Gel_forming,0,1,1,1,0.319,40,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
371.46,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.179,Medium,Gel_forming,0,1,1,1,0.306,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
408.73,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.598,Medium,Gel_forming,0,1,1,1,0.337,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
380.63,Galactose,Galactose,Alpha-1-3,Linear,Algae,Soluble,Anionic,1,0,1,4.282,Medium,Gel_forming,0,1,1,1,0.314,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.61,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,4.264,Low,Medium,1,1,1,1,0.405,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.81,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,4.272,Low,Medium,1,1,1,1,0.406,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.22,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,4.249,Low,Medium,1,1,1,1,0.404,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
98.05,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,3.922,Low,Medium,1,1,1,1,0.373,39,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
92.73,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,3.709,Low,Medium,1,1,1,1,0.352,37,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
106.42,Fucose,Fucose,Alpha-1-2,Moderate_Branched,Algae,Soluble,Anionic,1,1,1,4.257,Low,Medium,1,1,1,1,0.404,42,Algal,expert_curated_literature,Category from peer-reviewed literature; not ML-predicted.
