name,category,source,monomer_unit,bond_type,molecular_weight_kda,solubility,biological_function,carbohydrate_class,subtype,example,monomer_backbone,degree_of_polymerization,reducing_end,branching_degree,crystallinity_percent,water_content_percent,viscosity_mPas,ph_stability_min,ph_stability_max,thermal_stability_celsius,bioactivity,ic50_ug_ml,minimum_inhibitory_concentration_ug_ml,in_vitro_tested,in_vivo_tested,mechanism,source_organism,food_application,food_function,food_sector,e_number,usage_concentration_percent,regulatory_status,medical_application,medical_field,delivery_system,biocompatibility,biodegradability,toxicity_category,clinical_stage,primary_monomer,secondary_monomer,glycosidic_linkage,molecular_formula_repeat,degree_of_acetylation,degree_of_sulfation,carbon_content_percent,hydrogen_content_percent,oxygen_content_percent,scientific_name,common_name,plant_part,yield_percent,extraction_method,geographic_origin,id,pdb_like_id,helix_type,repeat_unit_length_angstrom,chain_conformation,glycosidic_angle_phi,glycosidic_angle_psi,branch_points_per_100_residues,drug_class,administration_route,half_life_hours,bioavailability_percent,plasma_protein_binding_percent,volume_of_distribution_L_kg,clearance_ml_min_kg,ld50_mg_kg,adverse_effects
Chitin,Structural,Fungi/Exoskeletons,N-acetylglucosamine,"Beta-1,4",664.81,Insoluble,Structural support,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3021.77,Soluble,Stabilizer,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Heparin,Bioactive,Animals,Glucosamine/Uronic,"Alpha-1,4",14.77,Soluble,Anticoagulant,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Inulin,Storage,Plants,Fructose,"Beta-2,1",4.96,Soluble,Fructose storage,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",790.9,Soluble,Glucose reserve,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",873.6,Soluble,Modified structural,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Fucoidan,Algal,Brown Algae,Fucose/Sulfate,"Alpha-1,2/1,3",109.99,Soluble,Cell signaling,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Starch,Storage,Plants,Glucose,"Alpha-1,4/1,6",546.9,Soluble,Energy storage,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Konjac Glucomannan,Storage,Plants,Glucose/Mannose,"Beta-1,4",1069.74,Soluble,Tuber storage,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1962.57,Soluble,Lubrication/ECM,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",207.4,Soluble,Seed endosperm reserve,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Carrageenan,Algal,Red Algae,Galactose,Mixed,540.24,Soluble,Cell wall support,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1951.59,Soluble,Lubrication/ECM,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Carrageenan,Algal,Red Algae,Galactose,Mixed,476.52,Soluble,Cell wall support,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Pullulan,Fungal,Fungi,Glucose,"Alpha-1,4/1,6",287.11,Soluble,Capsule formation,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Welan Gum,Bacterial,Bacteria,Glucose/Rhamnose,Mixed,2182.93,Soluble,Viscosity agent,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",980.76,Soluble,Modified structural,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Guar Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",204.81,Soluble,Seed endosperm reserve,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Dextran,Bacterial,Bacteria,Glucose,"Alpha-1,6",94.35,Soluble,Biofilm/Adhesion,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Cellulose,Structural,Plants,Glucose,"Beta-1,4",1015.84,Insoluble,Cell wall support,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Cellulose Sulfate,Structural,Plants (Modified),Glucose,"Beta-1,4",866.58,Soluble,Modified structural,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",72.91,Soluble,Cell wall cementing,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",73.66,Insoluble,Biofilm matrix,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",288.76,Soluble,Seed galactomannan,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Locust Bean Gum,Storage,Plants,Mannose/Galactose,"Beta-1,4",283.97,Soluble,Seed galactomannan,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Hyaluronic Acid,Bioactive,Animals/Bacteria,Glucuronic/Glucosamine,"Beta-1,3",1827.41,Soluble,Lubrication/ECM,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",828.03,Soluble,Glucose reserve,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Agar,Algal,Red Algae,Galactose,Mixed,147.11,Soluble (Hot),Gelling agent,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",70.24,Insoluble,Biofilm matrix,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Laminarin,Algal,Brown Algae,Glucose,"Beta-1,3",4.54,Soluble,Storage in algae,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Glycogen,Storage,Animals,Glucose,"Alpha-1,4/1,6",787.08,Soluble,Glucose reserve,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Curdlan,Bacterial,Bacteria,Glucose,"Beta-1,3",74.97,Insoluble,Biofilm matrix,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",86.96,Soluble,Cell wall cementing,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Xanthan Gum,Bacterial,Bacteria,Glucose/Mannose/GlcA,Mixed,3101.84,Soluble,Stabilizer,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
Pectin,Structural,Plants,Galacturonic acid,"Alpha-1,4",75.82,Soluble,Cell wall cementing,Unknown,Unknown,Unknown,Unknown,9192.0,Unknown,14.05,50.45,43.8,26396.65,4.0,9.0,175.64999999999998,Unknown,259.87,518.36,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.45,1.4849999999999999,42.3,7.0,50.4,Unknown,Unknown,Unknown,13.905000000000001,Unknown,Unknown,Unknown,Unknown,Unknown,9.115,Unknown,-1.065,-1.7650000000000001,12.55,Unknown,Unknown,32.150000000000006,54.25,56.2,2.5149999999999997,9.33,4747.5,Unknown
