name,category,drug_class,administration_route,half_life_hours,bioavailability_percent,plasma_protein_binding_percent,volume_of_distribution_L_kg,clearance_ml_min_kg,ld50_mg_kg,adverse_effects,source
Inulin,Storage,Hepatoprotective,Inhalation,12.1,99.9,30.4,4.567,14.98,2852.0,Bleeding risk,Plants
Cellulose,Structural,Antineoplastic,Transdermal,49.0,75.3,51.0,2.717,8.58,5070.0,Minimal,Plants
Carrageenan,Algal,Antiviral,Transdermal,19.9,26.1,20.0,4.421,10.79,8651.0,Minimal,Red Algae
Chitin,Structural,Antiviral,Transdermal,61.3,88.8,61.1,3.627,3.27,8514.0,None reported,Fungi/Exoskeletons
Glycogen,Storage,Mucolytic,Oral,14.8,47.6,14.1,2.406,18.77,9776.0,Allergic reaction,Animals
Fucoidan,Algal,Prebiotic agent,Oral,32.4,9.6,12.7,3.164,1.11,6442.0,Minimal,Brown Algae
Pullulan,Fungal,Antineoplastic,Subcutaneous,11.2,20.7,93.2,2.774,13.2,7727.0,GI disturbance,Fungi
Locust Bean Gum,Storage,Mucolytic,Oral,47.7,6.8,23.0,2.563,11.8,3455.0,None reported,Plants
Hyaluronic Acid,Bioactive,Antifungal,Transdermal,20.2,12.1,57.5,2.144,12.05,1212.0,None reported,Animals/Bacteria
Carrageenan,Algal,Anti-inflammatory,IV,57.7,43.6,21.7,2.809,10.84,8423.0,Bleeding risk,Red Algae
Laminarin,Algal,Anti-inflammatory,Subcutaneous,4.6,77.0,25.4,4.618,4.3,9023.0,GI disturbance,Brown Algae
Inulin,Storage,Prebiotic agent,IV,23.8,61.5,65.5,0.96,5.44,9983.0,Allergic reaction,Plants
Starch,Storage,Anti-inflammatory,IV,1.3,75.9,81.3,4.656,3.28,1707.0,GI disturbance,Plants
Xanthan Gum,Bacterial,Antiviral,Inhalation,1.8,13.6,91.5,4.786,9.44,2562.0,Bleeding risk,Bacteria
Cellulose Sulfate,Structural,Prebiotic agent,Inhalation,32.8,83.2,91.6,0.341,12.4,6525.0,Allergic reaction,Plants (Modified)
Starch,Storage,Antineoplastic,Topical,17.8,35.2,84.3,4.462,6.51,3584.0,Bleeding risk,Plants
Welan Gum,Bacterial,Antiviral,Topical,36.3,12.5,56.9,2.226,7.66,9422.0,Minimal,Bacteria
Agar,Algal,Antiviral,Transdermal,19.9,88.3,54.9,0.777,7.37,7197.0,Allergic reaction,Red Algae
Guar Gum,Storage,Immunosuppressant,Inhalation,26.9,94.2,45.2,0.804,4.35,1359.0,Allergic reaction,Plants
Cellulose,Structural,Antiviral,Subcutaneous,58.2,62.4,65.0,2.668,6.03,830.0,GI disturbance,Plants
Curdlan,Bacterial,Prebiotic agent,Inhalation,58.9,96.9,85.3,3.35,3.9,7510.0,GI disturbance,Bacteria
Hyaluronic Acid,Bioactive,Hepatoprotective,Inhalation,28.2,20.7,46.1,3.118,0.72,4228.0,Minimal,Animals/Bacteria
Pullulan,Fungal,Hepatoprotective,Inhalation,29.7,23.0,40.3,3.071,12.01,8908.0,None reported,Fungi
Scleroglucan,Fungal,Antineoplastic,Inhalation,65.9,62.3,93.7,2.763,4.7,7540.0,Allergic reaction,Fungi
Carrageenan,Algal,Antibacterial,Inhalation,33.7,52.1,63.8,1.892,15.73,222.0,Minimal,Red Algae
Agar,Algal,Prebiotic agent,Inhalation,12.8,54.7,86.3,1.295,12.36,2545.0,GI disturbance,Red Algae
Xanthan Gum,Bacterial,Hepatoprotective,Inhalation,53.8,97.7,62.8,0.816,2.96,197.0,Minimal,Bacteria
Glycogen,Storage,Prebiotic agent,Topical,4.1,98.0,71.5,4.653,3.36,6208.0,Minimal,Animals
Dextran,Bacterial,Immunosuppressant,Oral,62.8,74.5,59.6,1.128,2.81,2121.0,None reported,Bacteria
Guar Gum,Storage,Mucolytic,IV,64.9,85.1,51.4,0.214,12.45,4404.0,GI disturbance,Plants
Scleroglucan,Fungal,Antiviral,Topical,11.9,79.7,92.7,0.72,18.22,3362.0,Bleeding risk,Fungi
Cellulose,Structural,Antibacterial,IV,17.2,84.0,12.7,4.666,19.87,4338.0,Minimal,Plants
Laminarin,Algal,Prebiotic agent,Inhalation,65.3,43.1,90.6,2.864,19.55,7790.0,Minimal,Brown Algae
Fucoidan,Algal,Mucolytic,Subcutaneous,38.7,88.5,17.5,3.311,5.3,9359.0,Allergic reaction,Brown Algae
Laminarin,Algal,Antiviral,Subcutaneous,7.7,55.0,60.3,4.892,3.48,7668.0,GI disturbance,Brown Algae
Starch,Storage,Prebiotic agent,IV,57.4,34.2,32.7,3.569,6.7,9647.0,Bleeding risk,Plants
Guar Gum,Storage,Hepatoprotective,Topical,61.3,14.2,14.6,2.476,4.33,1779.0,Allergic reaction,Plants
Alginate,Algal,Anticoagulant,IV,30.5,77.0,77.0,0.938,1.38,6981.0,None reported,Brown Algae
Gellan Gum,Bacterial,Hepatoprotective,Inhalation,52.1,61.1,55.4,1.007,9.46,1980.0,Bleeding risk,Bacteria
Dextran,Bacterial,Prebiotic agent,Topical,61.0,32.2,63.6,3.91,10.12,354.0,None reported,Bacteria
Levan,Bacterial,Antineoplastic,IV,23.0,11.2,95.2,0.075,16.82,4194.0,Minimal,Bacteria
Konjac Glucomannan,Storage,Hepatoprotective,Oral,56.7,64.8,96.0,3.456,17.14,9752.0,Minimal,Plants
Guar Gum,Storage,Immunosuppressant,Transdermal,12.4,56.1,40.5,1.377,7.98,9719.0,Minimal,Plants
Laminarin,Algal,Anti-inflammatory,Inhalation,57.3,53.3,40.3,2.746,2.04,7392.0,Minimal,Brown Algae
Pectin,Structural,Antifungal,Topical,19.9,81.1,44.5,1.86,12.24,1258.0,Allergic reaction,Plants
Cellulose,Structural,Antifungal,Subcutaneous,0.7,32.1,61.7,4.467,16.12,7197.0,GI disturbance,Plants
Dextran,Bacterial,Anti-inflammatory,Inhalation,20.3,6.7,77.0,3.041,15.88,5505.0,Bleeding risk,Bacteria
Glycogen,Storage,Antibacterial,Oral,49.2,60.9,44.6,0.844,18.83,7341.0,Bleeding risk,Animals
Locust Bean Gum,Storage,Mucolytic,Inhalation,40.2,70.0,34.5,4.862,15.0,6635.0,None reported,Plants
Cellulose Sulfate,Structural,Anticoagulant,IV,28.5,20.0,71.4,0.498,18.08,2897.0,Allergic reaction,Plants (Modified)
Welan Gum,Bacterial,Hepatoprotective,IV,62.5,73.6,40.1,2.117,4.4,9332.0,None reported,Bacteria
Pullulan,Fungal,Prebiotic agent,Topical,61.3,52.8,54.6,0.314,15.49,4377.0,Minimal,Fungi
Locust Bean Gum,Storage,Hepatoprotective,Inhalation,35.0,97.0,62.5,0.253,13.75,1263.0,None reported,Plants
Glycogen,Storage,Antibacterial,Transdermal,59.3,64.8,96.2,4.335,2.04,2077.0,Bleeding risk,Animals
Carrageenan,Algal,Antiviral,Oral,7.4,56.0,58.7,2.826,7.19,8023.0,Bleeding risk,Red Algae
Hyaluronic Acid,Bioactive,Anti-inflammatory,Oral,43.0,43.3,36.0,2.301,13.83,9879.0,Bleeding risk,Animals/Bacteria
Starch,Storage,Mucolytic,IV,43.4,49.7,10.6,2.413,5.82,7141.0,GI disturbance,Plants
Guar Gum,Storage,Anticoagulant,Inhalation,49.0,69.5,22.1,3.221,4.34,4494.0,Minimal,Plants
Dextran,Bacterial,Antiviral,Transdermal,5.8,63.7,39.8,1.257,5.81,8776.0,Allergic reaction,Bacteria
Carrageenan,Algal,Antiviral,IV,62.9,22.1,38.8,3.807,7.83,127.0,Bleeding risk,Red Algae
Starch,Storage,Antineoplastic,Transdermal,28.0,75.3,36.5,0.692,9.98,5600.0,Allergic reaction,Plants
Starch,Storage,Immunosuppressant,Subcutaneous,37.5,9.6,91.7,0.307,5.11,4023.0,Bleeding risk,Plants
Levan,Bacterial,Anticoagulant,Topical,3.6,74.4,88.1,0.484,12.85,2733.0,Minimal,Bacteria
Laminarin,Algal,Antibacterial,Inhalation,9.1,86.7,61.6,2.982,19.77,681.0,Bleeding risk,Brown Algae
Fucoidan,Algal,Anticoagulant,IV,26.6,7.2,33.1,0.832,4.4,9433.0,GI disturbance,Brown Algae
Curdlan,Bacterial,Antifungal,Transdermal,43.2,27.0,19.9,3.264,4.14,3985.0,Minimal,Bacteria
Laminarin,Algal,Antibacterial,Subcutaneous,3.6,87.0,50.8,4.59,18.98,9351.0,GI disturbance,Brown Algae
Inulin,Storage,Prebiotic agent,Transdermal,42.7,18.0,38.1,3.748,19.27,2887.0,GI disturbance,Plants
Pectin,Structural,Immunosuppressant,Inhalation,7.0,58.0,65.5,0.648,11.19,3954.0,GI disturbance,Plants
Locust Bean Gum,Storage,Immunosuppressant,Topical,63.9,85.3,77.1,2.021,8.42,8683.0,None reported,Plants
Scleroglucan,Fungal,Mucolytic,IV,9.3,63.6,14.6,3.512,7.91,2424.0,Allergic reaction,Fungi
Chitin,Structural,Antiviral,IV,22.6,45.2,49.4,1.517,17.34,1627.0,Allergic reaction,Fungi/Exoskeletons
Carrageenan,Algal,Anticoagulant,IV,14.6,81.0,15.5,2.545,1.03,3807.0,Bleeding risk,Red Algae
Scleroglucan,Fungal,Anticoagulant,Oral,32.0,69.5,65.9,0.496,10.19,1030.0,Allergic reaction,Fungi
Cellulose,Structural,Mucolytic,Inhalation,32.0,10.9,21.3,1.316,1.96,2528.0,GI disturbance,Plants
Dextran,Bacterial,Antifungal,Inhalation,19.5,72.4,95.2,3.673,7.62,1061.0,GI disturbance,Bacteria
Welan Gum,Bacterial,Antifungal,Inhalation,4.4,73.7,20.8,4.671,2.06,6466.0,None reported,Bacteria
Fucoidan,Algal,Hepatoprotective,Inhalation,28.9,96.6,92.4,4.246,8.39,2227.0,GI disturbance,Brown Algae
Carrageenan,Algal,Anti-inflammatory,Inhalation,17.3,88.7,72.8,2.5,12.73,5640.0,Allergic reaction,Red Algae
Cellulose Sulfate,Structural,Anticoagulant,Topical,49.6,9.7,26.3,1.252,15.05,4835.0,Allergic reaction,Plants (Modified)
Gellan Gum,Bacterial,Anti-inflammatory,Inhalation,19.5,86.3,80.9,0.546,4.12,353.0,GI disturbance,Bacteria
Levan,Bacterial,Antifungal,IV,16.0,85.8,22.6,3.547,14.12,2206.0,Bleeding risk,Bacteria
Xanthan Gum,Bacterial,Hepatoprotective,Subcutaneous,21.2,8.8,86.4,4.612,6.78,7655.0,Allergic reaction,Bacteria
Pullulan,Fungal,Antiviral,Inhalation,62.0,67.0,32.7,2.225,18.41,6257.0,Bleeding risk,Fungi
Agar,Algal,Antibacterial,Topical,47.1,9.4,31.0,0.953,11.72,2588.0,Minimal,Red Algae
Glycogen,Storage,Antiviral,Inhalation,14.0,77.3,25.4,1.431,3.2,9619.0,Allergic reaction,Animals
Scleroglucan,Fungal,Anti-inflammatory,Inhalation,42.8,19.2,63.5,4.008,9.92,8217.0,Minimal,Fungi
Pectin,Structural,Prebiotic agent,Transdermal,25.0,90.2,15.1,4.634,6.81,5727.0,None reported,Plants
Laminarin,Algal,Anti-inflammatory,IV,39.9,26.0,12.6,3.597,8.17,2915.0,Bleeding risk,Brown Algae
Xanthan Gum,Bacterial,Antineoplastic,IV,55.8,46.1,65.0,3.906,18.32,4978.0,Allergic reaction,Bacteria
Pullulan,Fungal,Immunosuppressant,IV,67.7,44.3,73.9,3.514,1.16,4044.0,GI disturbance,Fungi
Gellan Gum,Bacterial,Antifungal,Oral,66.7,47.1,28.2,1.839,5.14,7996.0,GI disturbance,Bacteria
Laminarin,Algal,Mucolytic,IV,45.1,80.6,21.9,1.474,14.69,472.0,Allergic reaction,Brown Algae
Welan Gum,Bacterial,Prebiotic agent,Transdermal,4.3,90.3,33.8,3.393,17.44,4785.0,GI disturbance,Bacteria
Locust Bean Gum,Storage,Antineoplastic,Subcutaneous,32.9,18.1,60.1,0.062,18.56,8321.0,Minimal,Plants
Cellulose,Structural,Immunosuppressant,Transdermal,29.4,81.5,68.3,1.816,17.02,8115.0,Allergic reaction,Plants
Inulin,Storage,Antiviral,Transdermal,5.6,59.5,33.5,2.995,13.09,2168.0,None reported,Plants
Xanthan Gum,Bacterial,Hepatoprotective,Transdermal,55.6,69.5,75.9,4.201,14.31,8437.0,None reported,Bacteria
Glycogen,Storage,Prebiotic agent,Inhalation,65.8,53.1,13.0,3.713,17.83,8157.0,Minimal,Animals
Dextran,Bacterial,Hepatoprotective,Transdermal,57.7,24.7,82.5,3.887,9.01,2243.0,Bleeding risk,Bacteria
Gellan Gum,Bacterial,Immunosuppressant,Inhalation,18.9,41.2,21.5,0.827,11.19,7068.0,None reported,Bacteria
Fucoidan,Algal,Anti-inflammatory,Transdermal,62.5,14.9,64.2,2.834,7.12,2590.0,Minimal,Brown Algae
Welan Gum,Bacterial,Anti-inflammatory,IV,49.5,46.5,71.5,4.6,3.69,9105.0,None reported,Bacteria
Locust Bean Gum,Storage,Prebiotic agent,Subcutaneous,22.0,83.5,91.8,0.85,8.25,4665.0,None reported,Plants
Welan Gum,Bacterial,Antifungal,Oral,61.1,78.6,56.3,4.55,3.01,4557.0,None reported,Bacteria
Fucoidan,Algal,Antifungal,Oral,24.1,56.9,84.6,0.384,10.68,3906.0,Minimal,Brown Algae
Gellan Gum,Bacterial,Immunosuppressant,Transdermal,52.2,59.7,42.6,1.564,15.08,5792.0,None reported,Bacteria
Inulin,Storage,Antiviral,Oral,54.3,35.8,47.7,2.247,5.75,7773.0,Allergic reaction,Plants
Xanthan Gum,Bacterial,Antibacterial,IV,69.9,86.4,85.5,2.252,4.43,8059.0,Minimal,Bacteria
Cellulose Sulfate,Structural,Anticoagulant,Inhalation,63.4,44.6,43.8,0.705,2.43,3294.0,GI disturbance,Plants (Modified)
Gellan Gum,Bacterial,Antifungal,Transdermal,36.7,95.4,39.1,3.344,10.69,4046.0,GI disturbance,Bacteria
Konjac Glucomannan,Storage,Mucolytic,Subcutaneous,25.7,99.2,25.1,2.378,5.85,168.0,Allergic reaction,Plants
Locust Bean Gum,Storage,Antifungal,Topical,37.8,81.9,81.1,4.286,6.18,669.0,Minimal,Plants
Levan,Bacterial,Antiviral,Topical,18.8,15.1,25.4,1.321,6.4,780.0,None reported,Bacteria
Curdlan,Bacterial,Hepatoprotective,Subcutaneous,67.2,5.5,80.5,4.174,4.43,4125.0,None reported,Bacteria
Levan,Bacterial,Anticoagulant,Inhalation,56.0,84.5,82.2,4.343,14.74,4581.0,Bleeding risk,Bacteria
Levan,Bacterial,Immunosuppressant,Oral,63.6,33.3,92.4,0.812,4.64,6466.0,Minimal,Bacteria
Hyaluronic Acid,Bioactive,Anticoagulant,Transdermal,24.3,9.6,63.8,2.697,1.09,6126.0,GI disturbance,Animals/Bacteria
Gellan Gum,Bacterial,Anti-inflammatory,IV,19.7,59.9,61.4,2.195,1.79,6113.0,None reported,Bacteria
Guar Gum,Storage,Hepatoprotective,Subcutaneous,10.1,30.9,97.1,2.798,2.64,3690.0,None reported,Plants
Inulin,Storage,Antibacterial,Oral,21.9,91.9,50.8,1.802,15.52,7543.0,Allergic reaction,Plants
Dextran,Bacterial,Antibacterial,Oral,41.5,52.3,66.2,1.153,5.4,287.0,GI disturbance,Bacteria
Curdlan,Bacterial,Antibacterial,Oral,10.5,98.3,10.1,3.6,5.39,1557.0,Minimal,Bacteria
Agar,Algal,Anti-inflammatory,Topical,65.7,62.0,77.1,1.694,5.97,8431.0,Minimal,Red Algae
Pullulan,Fungal,Immunosuppressant,Topical,11.5,26.6,59.6,2.228,9.47,2928.0,Allergic reaction,Fungi
Pullulan,Fungal,Mucolytic,Inhalation,26.6,95.1,67.8,0.38,18.04,7404.0,None reported,Fungi
Gellan Gum,Bacterial,Antineoplastic,IV,0.8,54.6,73.7,4.204,6.74,6450.0,Allergic reaction,Bacteria
Welan Gum,Bacterial,Antibacterial,Topical,8.1,44.9,31.5,3.844,3.78,8926.0,Minimal,Bacteria
Gellan Gum,Bacterial,Mucolytic,Transdermal,39.7,73.1,76.6,0.87,8.69,4858.0,None reported,Bacteria
Xanthan Gum,Bacterial,Anti-inflammatory,Subcutaneous,14.3,5.2,45.5,4.225,4.67,9669.0,Minimal,Bacteria
Alginate,Algal,Anti-inflammatory,Inhalation,66.5,80.8,17.9,2.727,3.42,7812.0,Allergic reaction,Brown Algae
Alginate,Algal,Mucolytic,Inhalation,22.8,64.2,62.2,0.166,8.7,1612.0,Bleeding risk,Brown Algae
Pullulan,Fungal,Antineoplastic,IV,47.2,16.3,65.0,4.732,1.03,1600.0,Bleeding risk,Fungi
Agar,Algal,Antifungal,Transdermal,59.7,10.4,72.3,3.993,19.58,3232.0,GI disturbance,Red Algae
Welan Gum,Bacterial,Antibacterial,Transdermal,46.1,10.3,88.2,1.439,9.59,4522.0,GI disturbance,Bacteria
Welan Gum,Bacterial,Prebiotic agent,Oral,45.3,47.3,53.7,1.604,12.07,866.0,None reported,Bacteria
Cellulose Sulfate,Structural,Hepatoprotective,Transdermal,3.3,48.0,28.5,2.595,7.38,742.0,Allergic reaction,Plants (Modified)
Laminarin,Algal,Anticoagulant,Inhalation,42.0,40.1,96.9,3.822,12.73,1760.0,None reported,Brown Algae
Xanthan Gum,Bacterial,Antibacterial,Topical,39.9,47.1,28.1,0.163,3.53,267.0,Allergic reaction,Bacteria
Carrageenan,Algal,Anti-inflammatory,IV,17.5,42.9,19.6,0.617,12.82,6712.0,Minimal,Red Algae
Fucoidan,Algal,Mucolytic,Transdermal,6.8,88.5,58.1,0.816,11.56,7912.0,None reported,Brown Algae
Fucoidan,Algal,Antiviral,Transdermal,56.6,14.3,77.5,4.087,1.02,8292.0,Minimal,Brown Algae
Carrageenan,Algal,Antiviral,Transdermal,54.9,96.7,13.2,0.636,9.37,1406.0,Allergic reaction,Red Algae
Konjac Glucomannan,Storage,Antineoplastic,Inhalation,40.2,41.8,63.4,1.193,5.86,7094.0,Allergic reaction,Plants
Scleroglucan,Fungal,Prebiotic agent,Inhalation,65.0,92.5,31.3,1.615,8.7,3346.0,None reported,Fungi
Laminarin,Algal,Antiviral,Inhalation,56.5,87.2,97.7,0.995,7.41,4516.0,Allergic reaction,Brown Algae
Pullulan,Fungal,Immunosuppressant,Transdermal,7.8,21.2,80.9,4.499,4.75,3297.0,GI disturbance,Fungi
Fucoidan,Algal,Anticoagulant,Transdermal,60.9,35.2,69.5,0.212,2.98,1027.0,Allergic reaction,Brown Algae
Laminarin,Algal,Hepatoprotective,Transdermal,63.2,26.2,34.1,4.12,5.64,3181.0,None reported,Brown Algae
Cellulose Sulfate,Structural,Immunosuppressant,Oral,70.0,34.6,37.2,2.443,1.5,9205.0,Minimal,Plants (Modified)
Konjac Glucomannan,Storage,Antineoplastic,IV,70.4,80.4,84.9,1.032,10.95,4495.0,GI disturbance,Plants
Fucoidan,Algal,Antiviral,Inhalation,43.5,75.6,61.3,2.218,17.52,6217.0,None reported,Brown Algae
Cellulose,Structural,Antineoplastic,IV,46.2,33.7,78.5,1.372,8.81,2990.0,Allergic reaction,Plants
Guar Gum,Storage,Hepatoprotective,Topical,2.3,77.3,30.4,3.872,14.65,4330.0,GI disturbance,Plants
Starch,Storage,Anti-inflammatory,Subcutaneous,16.1,17.8,38.1,1.132,10.22,6653.0,Minimal,Plants
Alginate,Algal,Hepatoprotective,Subcutaneous,26.7,72.1,24.1,4.555,13.55,6659.0,Bleeding risk,Brown Algae
Chitin,Structural,Antibacterial,Subcutaneous,69.3,78.5,28.3,0.237,11.52,978.0,None reported,Fungi/Exoskeletons
Alginate,Algal,Prebiotic agent,Transdermal,12.2,83.1,29.9,1.535,7.83,9927.0,GI disturbance,Brown Algae
Glycogen,Storage,Antibacterial,Topical,45.3,29.2,31.8,2.193,8.09,9473.0,Bleeding risk,Animals
Dextran,Bacterial,Prebiotic agent,Subcutaneous,61.0,72.4,44.2,3.649,7.23,6359.0,GI disturbance,Bacteria
Cellulose Sulfate,Structural,Prebiotic agent,Transdermal,6.4,64.6,33.6,4.663,18.62,1238.0,Minimal,Plants (Modified)
Pullulan,Fungal,Anticoagulant,Topical,1.4,20.3,24.6,2.592,2.33,5689.0,Minimal,Fungi
Fucoidan,Algal,Prebiotic agent,Oral,16.8,77.5,83.7,3.355,8.04,8905.0,None reported,Brown Algae
Inulin,Storage,Antibacterial,IV,50.1,82.0,35.3,3.693,3.0,8123.0,Bleeding risk,Plants
Cellulose Sulfate,Structural,Antiviral,Topical,48.0,99.7,95.5,3.865,1.06,1600.0,GI disturbance,Plants (Modified)
Gellan Gum,Bacterial,Anticoagulant,Inhalation,52.4,60.6,72.2,0.976,11.38,1967.0,Allergic reaction,Bacteria
Pullulan,Fungal,Antifungal,Oral,43.4,40.9,46.6,2.206,2.02,1482.0,GI disturbance,Fungi
Gellan Gum,Bacterial,Antiviral,IV,20.4,82.1,91.1,0.715,17.06,1367.0,Bleeding risk,Bacteria
Inulin,Storage,Hepatoprotective,Inhalation,39.4,11.9,97.0,3.64,19.45,5582.0,Allergic reaction,Plants
Guar Gum,Storage,Mucolytic,Inhalation,53.4,13.9,86.1,3.091,6.88,6393.0,GI disturbance,Plants
Carrageenan,Algal,Anti-inflammatory,Topical,21.5,63.6,28.6,3.895,7.33,4633.0,Allergic reaction,Red Algae
Alginate,Algal,Antiviral,Topical,10.5,81.9,81.6,0.595,7.98,4947.0,Bleeding risk,Brown Algae
Carrageenan,Algal,Immunosuppressant,Oral,41.1,79.3,41.4,4.528,7.94,6162.0,GI disturbance,Red Algae
Alginate,Algal,Hepatoprotective,IV,46.2,51.2,48.6,4.261,5.62,1018.0,None reported,Brown Algae
Cellulose,Structural,Anticoagulant,IV,66.8,97.0,90.9,2.76,0.55,1871.0,GI disturbance,Plants
Pectin,Structural,Anti-inflammatory,Transdermal,52.1,24.8,92.4,4.844,15.7,9261.0,GI disturbance,Plants
Cellulose Sulfate,Structural,Antiviral,Subcutaneous,10.6,55.7,57.2,2.885,6.36,7575.0,Bleeding risk,Plants (Modified)
