name,category,molecular_weight_kda,degree_of_polymerization,branching_degree,crystallinity_percent,water_content_percent,viscosity_mPas,ph_stability_min,ph_stability_max,thermal_stability_celsius,solubility
Glycogen,Storage,711.07,19001,23.6,21.8,30.2,23798.0,5.0,9.3,123.0,Soluble
Carrageenan,Algal,500.36,45745,3.9,20.8,46.9,24398.2,4.6,7.2,207.8,Soluble
Gellan Gum,Bacterial,1009.7,15890,2.1,72.1,29.3,46207.7,2.4,10.0,161.6,Soluble
Alginate,Algal,175.24,22588,17.8,11.9,27.9,49382.7,4.5,11.9,166.1,Soluble
Heparin,Bioactive,14.64,15311,6.0,39.9,61.8,42639.7,2.4,6.3,287.7,Soluble
Heparin,Bioactive,17.21,18863,0.4,65.5,13.3,22508.6,2.1,7.3,189.1,Soluble
Xanthan Gum,Bacterial,3055.71,49185,7.8,48.6,59.7,7076.0,4.8,6.1,199.9,Soluble
Scleroglucan,Fungal,1212.86,16751,5.1,32.7,64.2,30902.1,2.2,9.9,62.0,Soluble
Carrageenan,Algal,532.07,43459,25.6,62.8,69.8,963.7,5.5,9.9,115.5,Soluble
Carrageenan,Algal,501.71,46520,3.0,35.2,70.0,26582.7,2.7,9.0,169.9,Soluble
Welan Gum,Bacterial,1617.19,16223,27.7,34.4,41.7,37222.1,2.1,10.1,145.3,Soluble
Dextran,Bacterial,89.45,32860,8.3,15.0,24.3,19364.7,6.0,11.9,286.6,Soluble
Inulin,Storage,4.45,22409,26.9,62.6,11.6,19116.5,5.8,9.7,210.1,Soluble
Agar,Algal,145.04,37555,4.6,87.6,73.2,16470.9,4.2,7.2,93.3,Soluble (Hot)
Cellulose Sulfate,Structural,1019.94,13268,25.9,34.7,57.9,26195.0,2.5,12.0,294.2,Soluble
Heparin,Bioactive,15.94,37027,27.5,35.4,46.8,47430.6,2.5,7.9,271.1,Soluble
Gellan Gum,Bacterial,811.79,20895,26.4,43.1,35.8,22155.8,5.7,11.4,284.0,Soluble
Inulin,Storage,4.3,12326,3.2,24.8,62.2,30603.0,3.1,9.4,115.4,Soluble
Agar,Algal,133.85,1719,10.8,65.1,40.7,25121.2,4.4,10.3,149.8,Soluble (Hot)
Carrageenan,Algal,498.29,9022,4.9,28.1,35.6,48441.1,5.7,11.7,113.4,Soluble
Scleroglucan,Fungal,1434.36,49671,6.1,24.2,76.6,21969.9,4.5,10.1,268.0,Soluble
Agar,Algal,145.65,2751,18.2,75.9,59.0,19713.6,5.8,9.4,188.7,Soluble (Hot)
Fucoidan,Algal,115.03,2533,15.6,46.1,67.0,2130.4,6.0,9.1,154.9,Soluble
Gellan Gum,Bacterial,815.7,25398,15.5,60.5,8.7,14566.1,3.6,7.8,258.6,Soluble
Pullulan,Fungal,259.98,19305,18.4,14.4,43.8,7120.6,5.3,8.7,233.4,Soluble
Chitin,Structural,610.34,38377,28.1,65.7,15.1,20683.8,3.8,7.1,201.7,Insoluble
Welan Gum,Bacterial,2316.64,29808,2.7,35.9,53.6,35576.4,2.7,10.4,81.9,Soluble
Welan Gum,Bacterial,1959.52,23795,2.6,66.6,59.5,48759.8,4.4,7.0,192.1,Soluble
Cellulose,Structural,1107.3,21977,17.0,62.8,16.3,43442.2,2.7,10.3,160.7,Insoluble
Dextran,Bacterial,109.21,29255,8.7,24.5,72.4,48022.1,2.0,10.6,62.9,Soluble
Guar Gum,Storage,251.28,35628,24.2,58.6,42.0,10851.5,4.6,8.7,166.1,Soluble
Laminarin,Algal,5.2,16047,26.5,32.2,52.1,41007.9,2.8,7.1,73.2,Soluble
Alginate,Algal,162.94,2135,20.0,77.0,27.4,46020.0,2.2,8.5,102.8,Soluble
Scleroglucan,Fungal,1096.5,43324,20.7,57.6,64.0,8879.2,3.8,9.5,283.6,Soluble
Glycogen,Storage,885.92,21166,11.1,40.3,10.1,21371.9,4.2,7.8,92.3,Soluble
Welan Gum,Bacterial,2287.53,21585,15.8,52.0,57.2,30606.6,2.4,10.4,211.0,Soluble
Glycogen,Storage,794.77,45141,18.1,73.1,58.0,21358.4,5.4,7.6,198.0,Soluble
Laminarin,Algal,4.71,8510,18.4,49.7,59.7,24892.1,5.2,11.3,115.9,Soluble
Dextran,Bacterial,119.17,113,3.5,47.2,64.8,36876.0,2.8,9.7,159.5,Soluble
Cellulose,Structural,933.52,36737,24.2,27.0,53.0,34504.0,3.0,6.4,132.1,Insoluble
Cellulose Sulfate,Structural,883.09,411,3.4,36.7,34.7,28450.4,5.8,11.0,106.6,Soluble
Pectin,Structural,93.51,31408,27.5,73.8,53.4,24080.0,4.5,11.4,188.9,Soluble
Pectin,Structural,78.8,27138,27.8,14.5,44.1,28251.5,4.7,9.3,64.5,Soluble
Curdlan,Bacterial,79.49,23183,2.0,21.9,68.1,16964.2,3.5,9.2,99.8,Insoluble
Laminarin,Algal,4.78,39016,3.5,72.6,28.1,42892.4,4.8,7.6,80.8,Soluble
Agar,Algal,142.3,19843,6.5,34.2,13.4,39249.3,5.1,11.5,166.5,Soluble (Hot)
Starch,Storage,559.81,32781,4.6,37.2,41.3,43695.2,3.2,8.0,244.7,Soluble
Chitin,Structural,790.2,33836,20.3,20.6,59.3,22973.8,4.9,9.1,61.0,Insoluble
Cellulose,Structural,1074.82,38957,26.2,36.7,71.7,5164.1,5.1,10.5,65.4,Insoluble
Konjac Glucomannan,Storage,924.86,13762,9.6,25.4,25.7,15964.3,3.8,6.7,95.8,Soluble
Inulin,Storage,4.23,40835,16.8,18.2,45.7,27472.8,3.1,11.7,253.0,Soluble
Curdlan,Bacterial,66.45,4678,9.3,81.4,45.5,2545.8,2.1,11.4,72.1,Insoluble
Carrageenan,Algal,410.76,27958,11.8,66.4,71.8,31477.2,4.8,8.7,145.3,Soluble
Pectin,Structural,90.16,46730,22.8,74.7,10.9,46140.0,5.1,9.4,82.3,Soluble
Welan Gum,Bacterial,1974.62,29867,9.3,61.6,62.5,23532.6,5.8,6.9,275.0,Soluble
Inulin,Storage,5.83,25705,5.5,83.4,29.8,43041.0,3.3,8.9,75.7,Soluble
Chitin,Structural,658.4,30237,25.4,32.6,31.1,28738.2,4.0,8.4,231.4,Insoluble
Chitin,Structural,651.24,42572,2.1,34.2,39.6,29530.9,3.0,7.5,98.2,Insoluble
Guar Gum,Storage,209.78,22339,6.2,65.5,37.3,49010.5,4.3,8.1,226.6,Soluble
Hyaluronic Acid,Bioactive,2130.09,5114,22.2,67.0,67.8,5725.0,4.4,8.0,83.4,Soluble
Pullulan,Fungal,261.14,26604,2.1,18.7,66.1,38569.5,3.5,9.0,218.4,Soluble
Glycogen,Storage,709.64,9114,26.6,82.3,52.7,19.2,2.6,6.9,187.5,Soluble
Carrageenan,Algal,523.11,29315,5.9,64.5,28.7,28518.1,5.7,7.8,286.4,Soluble
Levan,Bacterial,2174.23,22571,29.7,56.6,50.9,25526.1,5.4,11.1,75.0,Soluble
Cellulose Sulfate,Structural,1127.8,65,21.1,75.7,31.9,43063.8,5.5,7.4,228.5,Soluble
Carrageenan,Algal,525.04,46656,11.5,40.5,45.9,33127.8,3.9,7.1,152.3,Soluble
Alginate,Algal,227.2,10120,8.7,79.8,14.4,590.0,4.6,6.9,272.4,Soluble
Scleroglucan,Fungal,1169.63,8908,2.5,61.4,36.2,22806.9,5.2,9.6,162.2,Soluble
Hyaluronic Acid,Bioactive,1963.52,27805,16.6,46.0,31.6,9297.7,4.4,9.5,263.2,Soluble
Agar,Algal,162.73,17655,12.3,53.7,32.5,48911.9,4.3,10.2,87.2,Soluble (Hot)
Guar Gum,Storage,260.63,5257,4.3,68.5,78.8,49183.6,5.1,8.8,78.8,Soluble
Laminarin,Algal,4.18,30972,18.9,63.1,55.2,34206.9,4.2,9.5,207.1,Soluble
Pectin,Structural,81.12,716,14.1,51.0,40.2,36693.4,3.7,11.8,251.6,Soluble
Dextran,Bacterial,86.7,45560,27.7,70.0,59.5,28189.7,2.2,8.8,100.6,Soluble
Cellulose,Structural,1062.53,19130,24.3,59.9,26.5,4134.7,4.0,11.1,126.7,Insoluble
Heparin,Bioactive,15.69,18046,25.7,11.1,13.4,8738.9,4.4,6.9,167.2,Soluble
Hyaluronic Acid,Bioactive,1809.0,45935,7.1,24.5,44.6,1664.2,5.9,11.8,202.9,Soluble
Heparin,Bioactive,17.03,49342,29.8,71.6,22.8,22014.8,4.6,7.3,236.2,Soluble
Alginate,Algal,164.35,17337,22.7,19.3,17.6,19943.3,3.2,10.5,240.6,Soluble
Cellulose Sulfate,Structural,848.79,44804,21.2,48.0,15.9,43515.2,2.0,11.6,167.7,Soluble
Scleroglucan,Fungal,1111.53,34760,20.5,13.3,73.8,31874.8,5.8,8.6,280.3,Soluble
Inulin,Storage,4.67,17513,24.1,30.4,48.8,23060.8,4.7,7.5,221.3,Soluble
Konjac Glucomannan,Storage,877.97,22122,20.3,89.5,28.5,538.8,2.0,6.4,158.7,Soluble
Locust Bean Gum,Storage,260.88,29235,10.5,68.0,23.9,1711.7,4.5,6.3,202.6,Soluble
Xanthan Gum,Bacterial,3540.59,41827,3.7,86.6,11.5,30238.2,3.5,10.6,215.5,Soluble
Hyaluronic Acid,Bioactive,2316.8,45600,5.5,33.6,54.5,3795.0,3.8,12.0,244.6,Soluble
Welan Gum,Bacterial,2322.71,21204,7.7,72.5,25.8,3128.7,3.6,12.0,122.0,Soluble
Inulin,Storage,4.36,4558,14.8,84.3,50.8,8930.3,4.0,6.9,244.5,Soluble
Xanthan Gum,Bacterial,3136.76,6973,27.4,67.2,12.7,3655.2,4.3,7.5,167.0,Soluble
Guar Gum,Storage,189.1,41975,0.0,13.0,34.3,7588.9,3.3,8.3,60.9,Soluble
Welan Gum,Bacterial,2351.93,32167,14.3,42.3,59.6,40615.7,2.3,7.4,152.3,Soluble
Welan Gum,Bacterial,2254.38,31602,3.6,52.8,79.4,16678.7,3.2,6.3,299.3,Soluble
Fucoidan,Algal,83.63,35047,25.6,37.2,68.1,38025.0,3.2,7.2,193.1,Soluble
Carrageenan,Algal,532.15,19596,20.9,81.7,52.3,17969.5,2.3,9.8,236.5,Soluble
Heparin,Bioactive,12.21,1672,21.6,57.4,41.7,3159.0,4.2,7.8,188.1,Soluble
Pullulan,Fungal,355.99,1085,1.1,14.5,64.1,2150.3,2.5,10.8,220.2,Soluble
Pullulan,Fungal,352.81,35174,4.5,56.3,74.4,1853.5,2.6,9.9,173.1,Soluble
Laminarin,Algal,4.09,45970,19.5,11.1,52.4,45234.1,5.3,6.6,206.7,Soluble
Curdlan,Bacterial,61.09,6978,3.4,57.6,51.2,3164.9,2.8,8.0,260.6,Insoluble
Gellan Gum,Bacterial,1071.36,21259,3.6,64.7,45.9,16086.3,5.9,7.3,70.9,Soluble
Hyaluronic Acid,Bioactive,1868.4,7923,8.2,70.6,17.6,18502.7,2.7,7.5,199.7,Soluble
Heparin,Bioactive,12.6,41441,18.4,72.2,6.2,24353.5,2.0,7.1,81.4,Soluble
Fucoidan,Algal,103.75,18604,12.5,74.6,62.9,34621.0,2.8,9.8,185.5,Soluble
Levan,Bacterial,1791.4,11449,18.3,13.0,18.5,24999.4,5.8,9.8,247.8,Soluble
Alginate,Algal,193.5,36560,7.1,19.4,44.8,4793.2,3.4,10.6,189.5,Soluble
Agar,Algal,147.85,41065,19.8,32.1,19.5,39832.7,4.7,11.8,173.9,Soluble (Hot)
Hyaluronic Acid,Bioactive,1727.81,2835,1.6,39.1,20.7,12576.6,4.5,11.3,168.8,Soluble
Chitin,Structural,767.32,35226,5.3,72.8,41.4,5812.1,5.6,10.3,202.2,Insoluble
Pectin,Structural,77.41,48971,20.3,36.1,63.4,16313.3,2.4,10.4,268.8,Soluble
Carrageenan,Algal,578.27,4828,14.1,48.8,71.8,7255.6,5.7,8.7,153.0,Soluble
Heparin,Bioactive,14.75,12734,19.0,88.0,20.2,6369.3,4.8,6.4,92.8,Soluble
Pullulan,Fungal,295.03,11229,22.8,27.6,27.1,7847.8,5.2,11.7,277.3,Soluble
Curdlan,Bacterial,87.92,15063,2.6,78.6,41.7,49783.3,4.4,11.0,127.0,Insoluble
Gellan Gum,Bacterial,971.24,16174,7.4,44.7,21.7,46374.7,5.8,11.5,275.6,Soluble
Levan,Bacterial,2384.15,2635,29.7,68.7,42.8,21290.6,3.6,10.9,227.2,Soluble
Chitin,Structural,686.68,15772,2.5,70.2,57.0,20336.8,2.9,8.2,117.4,Insoluble
Glycogen,Storage,645.1,43855,9.1,66.3,69.3,37366.9,2.1,8.7,245.2,Soluble
Welan Gum,Bacterial,1924.29,24285,18.8,66.3,5.1,31369.0,3.5,10.1,187.4,Soluble
Dextran,Bacterial,97.04,17690,20.9,59.0,48.1,10365.2,4.7,9.7,140.6,Soluble
Cellulose,Structural,1005.89,44224,10.9,14.1,33.7,23273.0,2.2,8.2,215.6,Insoluble
Welan Gum,Bacterial,1653.6,46497,23.2,21.1,30.1,26986.3,4.6,10.4,240.5,Soluble
Welan Gum,Bacterial,1767.84,48835,22.8,35.6,72.3,25183.3,3.7,6.3,149.5,Soluble
Pullulan,Fungal,298.35,34526,24.9,47.6,44.9,41270.7,5.6,8.7,148.4,Soluble
Scleroglucan,Fungal,1413.78,4310,5.7,80.7,11.5,19540.2,2.7,11.7,78.5,Soluble
Hyaluronic Acid,Bioactive,1820.75,45693,4.4,22.0,20.3,47605.7,2.1,8.5,223.8,Soluble
Heparin,Bioactive,14.84,27543,13.3,61.6,26.9,3156.8,5.5,7.4,287.4,Soluble
Fucoidan,Algal,93.44,37935,10.3,61.7,29.5,29671.9,4.8,11.1,166.9,Soluble
Dextran,Bacterial,102.69,20096,5.2,30.8,41.3,48536.5,5.1,6.3,144.7,Soluble
Pullulan,Fungal,354.75,40552,27.7,66.9,26.4,48660.6,5.4,10.2,219.9,Soluble
Heparin,Bioactive,12.97,7672,1.2,35.3,14.5,13027.8,2.7,9.4,68.3,Soluble
Pectin,Structural,95.3,9705,11.2,53.2,17.2,15085.0,5.7,8.4,179.9,Soluble
Heparin,Bioactive,17.69,20995,4.7,87.6,46.0,25375.4,4.6,7.8,275.0,Soluble
Konjac Glucomannan,Storage,1192.28,37609,20.0,74.0,59.6,46115.4,3.4,6.7,175.0,Soluble
Cellulose,Structural,855.77,36117,3.5,12.0,51.3,11026.0,3.4,8.0,206.0,Insoluble
Xanthan Gum,Bacterial,3100.12,14568,23.4,71.4,19.7,4188.6,5.4,10.1,289.8,Soluble
Locust Bean Gum,Storage,296.91,32153,9.5,58.4,75.8,45423.3,3.4,6.9,264.9,Soluble
Alginate,Algal,190.89,808,8.5,38.1,78.3,43716.3,2.4,10.4,166.6,Soluble
Levan,Bacterial,2242.95,18925,4.9,68.2,72.3,36433.0,3.7,11.0,203.5,Soluble
Heparin,Bioactive,13.25,31114,29.7,52.0,30.2,46658.3,4.4,8.3,61.6,Soluble
Fucoidan,Algal,116.58,27175,5.2,47.0,47.6,45744.5,2.8,11.0,129.5,Soluble
