id,name,category,pdb_like_id,helix_type,repeat_unit_length_angstrom,chain_conformation,glycosidic_angle_phi,glycosidic_angle_psi,branch_points_per_100_residues,molecular_weight_kda,bond_type
PS-95697,Heparin,Bioactive,C762,Random coil,8.26,4H3,-52.27,-28.38,24.8,14.29,"Alpha-1,4"
PS-17660,Pectin,Structural,E333,Extended chain,12.53,4H3,53.67,-40.4,20.4,82.1,"Alpha-1,4"
PS-65328,Inulin,Storage,M446,Double helix,8.38,4H3,27.58,30.47,19.0,4.64,"Beta-2,1"
PS-78198,Heparin,Bioactive,E738,Double helix,3.11,4C1,-43.87,-11.85,24.8,13.98,"Alpha-1,4"
PS-40110,Starch,Storage,A324,Double helix,6.04,Skew boat,-7.08,28.09,3.1,548.11,"Alpha-1,4/1,6"
PS-57867,Pullulan,Fungal,A548,Random coil,4.7,Skew boat,13.16,-18.32,20.3,281.94,"Alpha-1,4/1,6"
PS-17427,Gellan Gum,Bacterial,F384,Triple helix,5.53,4C1,52.99,-39.24,5.8,1019.61,Mixed
PS-43857,Konjac Glucomannan,Storage,P274,Double helix,3.35,4H3,26.01,54.09,3.3,910.49,"Beta-1,4"
PS-70090,Dextran,Bacterial,C918,Extended chain,12.71,4C1,-49.1,26.12,23.9,103.89,"Alpha-1,6"
PS-48361,Heparin,Bioactive,B482,Single helix,8.27,Skew boat,49.96,-28.93,22.1,14.87,"Alpha-1,4"
PS-23315,Konjac Glucomannan,Storage,P757,Random coil,6.85,4H3,-10.33,14.68,20.8,1104.57,"Beta-1,4"
PS-44564,Hyaluronic Acid,Bioactive,B495,Triple helix,10.68,1C4,4.42,50.46,3.9,2085.27,"Beta-1,3"
PS-29442,Fucoidan,Algal,K617,Single helix,5.16,4H3,11.86,36.32,14.6,104.51,"Alpha-1,2/1,3"
PS-61668,Carrageenan,Algal,Y646,Triple helix,11.55,Half-chair,26.96,-42.31,6.2,469.89,Mixed
PS-69161,Xanthan Gum,Bacterial,S887,Single helix,12.53,4C1,-44.4,-49.69,1.2,3022.26,Mixed
PS-15500,Locust Bean Gum,Storage,H813,Triple helix,14.79,Half-chair,-10.09,50.19,15.4,322.62,"Beta-1,4"
PS-69561,Glycogen,Storage,B983,Random coil,6.5,4C1,35.75,51.9,15.0,771.68,"Alpha-1,4/1,6"
PS-91189,Curdlan,Bacterial,T357,Triple helix,5.14,4H3,28.23,47.69,2.7,66.93,"Beta-1,3"
PS-28625,Hyaluronic Acid,Bioactive,P497,Triple helix,6.0,Half-chair,-5.47,-40.37,9.0,1898.85,"Beta-1,3"
PS-24809,Heparin,Bioactive,M280,Random coil,11.15,4H3,10.93,17.53,21.2,13.89,"Alpha-1,4"
PS-10197,Xanthan Gum,Bacterial,W652,Double helix,5.43,4H3,-24.67,-6.86,22.6,2653.34,Mixed
PS-77969,Locust Bean Gum,Storage,P620,Extended chain,9.96,4H3,-58.59,-4.25,20.1,273.57,"Beta-1,4"
PS-90458,Alginate,Algal,V486,Extended chain,11.21,4C1,13.45,44.99,4.7,208.73,"Beta-1,4"
PS-43735,Guar Gum,Storage,T818,Double helix,7.77,1C4,-40.81,45.32,18.5,215.47,"Beta-1,4"
PS-34246,Inulin,Storage,O609,Random coil,6.83,1C4,-40.8,-16.96,3.8,4.9,"Beta-2,1"
PS-55782,Carrageenan,Algal,R185,Double helix,12.71,1C4,-56.67,-15.73,18.1,458.92,Mixed
PS-47465,Curdlan,Bacterial,D173,Triple helix,14.09,Skew boat,-33.8,-41.8,7.9,78.57,"Beta-1,3"
PS-86226,Welan Gum,Bacterial,M338,Random coil,5.93,1C4,17.49,-39.32,15.6,1902.4,Mixed
PS-33577,Konjac Glucomannan,Storage,B541,Random coil,3.91,4H3,14.82,-56.75,16.7,961.51,"Beta-1,4"
PS-36838,Xanthan Gum,Bacterial,X209,Double helix,10.86,4C1,-54.77,8.87,21.3,2801.6,Mixed
PS-18419,Hyaluronic Acid,Bioactive,U185,Double helix,13.21,4C1,53.97,-39.25,1.9,2119.61,"Beta-1,3"
PS-96867,Locust Bean Gum,Storage,D828,Triple helix,9.46,Skew boat,5.21,4.29,24.8,294.97,"Beta-1,4"
PS-23629,Starch,Storage,Y696,Single helix,9.37,4H3,6.75,-52.98,7.7,476.67,"Alpha-1,4/1,6"
PS-98305,Heparin,Bioactive,A143,Random coil,5.13,Half-chair,49.87,-0.26,16.0,14.93,"Alpha-1,4"
PS-78259,Pectin,Structural,K894,Random coil,10.65,4H3,53.49,-12.08,7.8,84.71,"Alpha-1,4"
PS-67061,Laminarin,Algal,X232,Double helix,6.55,1C4,-46.58,-43.09,23.3,5.37,"Beta-1,3"
PS-19843,Hyaluronic Acid,Bioactive,G287,Single helix,6.67,4C1,-54.54,-40.43,6.3,1864.14,"Beta-1,3"
PS-46884,Chitin,Structural,X597,Extended chain,14.0,Half-chair,32.7,24.0,2.8,695.14,"Beta-1,4"
PS-68525,Laminarin,Algal,E945,Random coil,10.06,Half-chair,57.21,-26.68,17.3,4.52,"Beta-1,3"
PS-77330,Hyaluronic Acid,Bioactive,W303,Single helix,11.82,4C1,-53.16,45.02,10.6,1770.05,"Beta-1,3"
PS-32032,Welan Gum,Bacterial,W102,Single helix,3.06,1C4,29.76,4.71,4.8,1950.09,Mixed
PS-10504,Chitin,Structural,K746,Single helix,6.92,1C4,-27.58,46.36,22.5,708.37,"Beta-1,4"
PS-56567,Starch,Storage,R805,Double helix,14.1,Half-chair,-39.49,33.4,19.2,447.49,"Alpha-1,4/1,6"
PS-62180,Pullulan,Fungal,R814,Random coil,4.97,Skew boat,30.75,52.03,21.4,276.77,"Alpha-1,4/1,6"
PS-37106,Cellulose Sulfate,Structural,Q724,Random coil,11.08,1C4,-34.26,-1.96,22.5,854.99,"Beta-1,4"
PS-93230,Pectin,Structural,D746,Extended chain,13.96,Skew boat,-38.76,-5.41,6.2,81.0,"Alpha-1,4"
PS-24242,Konjac Glucomannan,Storage,A176,Double helix,4.86,Half-chair,34.93,-35.86,5.6,1026.11,"Beta-1,4"
PS-98214,Chitin,Structural,R969,Extended chain,11.77,1C4,-18.08,-37.58,18.4,738.36,"Beta-1,4"
PS-79252,Glycogen,Storage,P433,Single helix,7.87,Skew boat,-0.84,-48.6,1.1,849.06,"Alpha-1,4/1,6"
PS-58527,Gellan Gum,Bacterial,S271,Single helix,10.62,Half-chair,2.72,42.76,20.3,939.37,Mixed
PS-91417,Glycogen,Storage,E578,Extended chain,8.34,Skew boat,-45.99,50.19,17.4,771.65,"Alpha-1,4/1,6"
PS-64919,Curdlan,Bacterial,S973,Extended chain,10.72,Half-chair,23.13,-18.01,12.4,78.16,"Beta-1,3"
PS-29749,Starch,Storage,W500,Random coil,7.42,Skew boat,4.06,31.65,15.3,482.47,"Alpha-1,4/1,6"
PS-28135,Chitin,Structural,K558,Double helix,6.7,Half-chair,11.18,46.93,4.1,670.79,"Beta-1,4"
PS-45760,Laminarin,Algal,V545,Single helix,12.17,4H3,46.39,9.52,15.2,4.93,"Beta-1,3"
PS-72282,Fucoidan,Algal,E883,Extended chain,7.94,Half-chair,58.62,-23.46,19.1,101.78,"Alpha-1,2/1,3"
PS-73495,Carrageenan,Algal,A675,Single helix,9.64,Half-chair,-5.13,22.32,12.5,507.1,Mixed
PS-90977,Scleroglucan,Fungal,S391,Random coil,6.31,Half-chair,-36.78,12.99,12.6,1143.05,"Beta-1,3/1,6"
PS-70560,Levan,Bacterial,H395,Random coil,9.23,4H3,-35.25,27.97,13.4,2015.94,"Beta-2,6"
PS-48399,Carrageenan,Algal,Y698,Extended chain,3.34,4H3,-22.08,35.08,4.2,516.8,Mixed
PS-11299,Carrageenan,Algal,K275,Single helix,13.03,4C1,-40.32,-43.26,11.5,487.6,Mixed
PS-82466,Dextran,Bacterial,T162,Single helix,13.08,1C4,-27.53,40.03,9.0,90.5,"Alpha-1,6"
PS-10071,Agar,Algal,R998,Extended chain,9.88,1C4,44.99,36.54,8.2,142.98,Mixed
PS-82229,Cellulose Sulfate,Structural,H733,Extended chain,11.84,4H3,40.01,29.22,2.6,915.26,"Beta-1,4"
PS-11909,Agar,Algal,E557,Triple helix,13.98,4C1,-59.92,-54.49,8.6,146.05,Mixed
PS-62860,Scleroglucan,Fungal,D706,Extended chain,7.27,1C4,-57.93,56.19,8.9,1140.32,"Beta-1,3/1,6"
PS-44217,Cellulose Sulfate,Structural,Y678,Double helix,12.91,Half-chair,19.8,47.66,7.4,938.33,"Beta-1,4"
PS-75883,Cellulose,Structural,Y591,Single helix,10.84,Half-chair,-3.35,-10.27,16.1,888.38,"Beta-1,4"
PS-92709,Chitin,Structural,Y308,Random coil,7.47,4C1,-54.29,-27.43,7.4,775.55,"Beta-1,4"
PS-27239,Inulin,Storage,T709,Single helix,7.72,4H3,19.83,54.56,14.0,5.51,"Beta-2,1"
PS-31605,Alginate,Algal,J139,Random coil,4.7,1C4,-45.98,49.22,15.3,196.94,"Beta-1,4"
PS-27947,Guar Gum,Storage,K535,Double helix,5.21,1C4,-45.01,-59.05,5.9,242.8,"Beta-1,4"
PS-96495,Fucoidan,Algal,J550,Single helix,6.1,4H3,-2.35,-13.34,13.5,104.43,"Alpha-1,2/1,3"
PS-58806,Pectin,Structural,T328,Extended chain,8.24,1C4,-48.43,38.89,5.8,74.72,"Alpha-1,4"
PS-74107,Starch,Storage,C240,Triple helix,7.0,4H3,-33.82,-40.05,20.7,547.94,"Alpha-1,4/1,6"
PS-10435,Cellulose,Structural,X355,Random coil,4.53,1C4,53.58,51.66,1.7,1052.11,"Beta-1,4"
PS-41041,Guar Gum,Storage,Y755,Double helix,10.6,Skew boat,-0.64,-8.93,6.8,227.53,"Beta-1,4"
PS-42293,Gellan Gum,Bacterial,T454,Extended chain,6.85,4H3,6.5,-39.48,14.6,953.27,Mixed
PS-55387,Scleroglucan,Fungal,E829,Triple helix,4.22,4C1,57.3,-20.68,9.2,1080.2,"Beta-1,3/1,6"
