name,category,primary_monomer,secondary_monomer,bond_type,glycosidic_linkage,molecular_formula_repeat,degree_of_acetylation,degree_of_sulfation,carbon_content_percent,hydrogen_content_percent,oxygen_content_percent,molecular_weight_kda
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,2",C6H11O6,2.4,0.09,36.8,5.7,52.8,87.14
Inulin,Storage,Fructose,None,"Beta-2,1","1,6",C6H10O5,42.2,1.07,41.0,7.8,48.0,4.83
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,4",C8H15NO6,61.9,2.76,44.5,7.4,51.8,3429.31
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H9O7Na,3.1,2.1,47.9,6.5,50.4,193.47
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,1",C6H9O7Na,94.9,2.05,49.9,6.5,54.6,2155.43
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","1,6",C6H9O7Na,54.4,0.25,45.9,7.9,54.2,789.12
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,4",C6H11O6,60.4,1.41,39.8,7.2,52.0,985.36
Laminarin,Algal,Glucose,None,"Beta-1,3","1,6",C6H10O5,1.0,0.39,47.9,8.1,54.4,4.92
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,3",C8H15NO6,27.5,1.7,47.0,7.1,52.2,287.05
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","2,6",C8H15NO6,17.4,1.36,47.8,5.2,51.0,684.61
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,3",C6H10O5,19.9,1.46,35.1,8.1,53.1,1345.95
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,6",C6H10O5,30.2,0.67,48.0,7.3,49.9,1064.15
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,2",C6H10O5,16.4,0.4,49.7,7.4,45.2,1997.69
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H10O5,70.8,2.69,40.5,7.2,49.2,1720.12
Levan,Bacterial,Fructose,None,"Beta-2,6","2,1",C8H15NO6,6.7,0.26,48.2,7.7,49.7,2004.27
Agar,Algal,Galactose,None,Mixed,"1,3",C6H10O5,2.4,0.26,37.8,5.8,51.6,152.07
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","1,4",C8H15NO6,6.7,2.37,37.8,6.7,50.6,873.69
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,4",C6H11O6,74.7,1.17,40.6,7.0,45.1,15.11
Inulin,Storage,Fructose,None,"Beta-2,1","2,1",C6H10O5,30.3,2.43,39.8,6.0,49.8,4.57
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,6",C8H15NO6,47.9,0.3,40.8,7.5,50.4,1309.39
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","2,6",C6H11O6,85.8,0.44,46.4,6.9,54.9,13.08
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,3",C8H15NO6,84.0,1.09,38.4,6.0,45.6,1959.12
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4",Mixed,C8H15NO6,2.8,2.01,49.0,6.6,51.1,88.81
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,3",C8H15NO6,61.5,2.37,48.3,7.6,52.6,897.19
Laminarin,Algal,Glucose,None,"Beta-1,3","2,1",C6H9O7Na,49.7,0.23,44.0,6.7,50.6,5.31
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,3",C6H10O5,37.0,1.18,42.0,8.2,54.2,941.05
Cellulose Sulfate,Structural,Glucose,None,"Beta-1,4","2,1",C6H9O7Na,91.9,2.57,42.0,7.0,52.6,1046.76
Curdlan,Bacterial,Glucose,None,"Beta-1,3","2,6",C6H11O6,46.9,0.27,42.3,6.4,50.2,76.92
Inulin,Storage,Fructose,None,"Beta-2,1","2,6",C6H9O7Na,93.4,2.62,43.9,5.9,54.3,4.74
Agar,Algal,Galactose,None,Mixed,"2,1",C6H11O6,34.9,0.92,47.4,7.1,49.1,139.38
Levan,Bacterial,Fructose,None,"Beta-2,6","2,6",C6H11O6,76.8,2.67,37.1,8.1,48.0,2112.26
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,6",C6H9O7Na,20.4,1.39,42.8,5.5,52.2,187.49
Agar,Algal,Galactose,None,Mixed,"1,3",C6H9O7Na,18.3,1.94,42.5,6.0,49.8,139.68
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,6",C6H9O7Na,14.6,1.82,38.8,8.9,53.1,84.74
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,2",C6H11O6,81.2,0.76,42.4,8.7,50.5,548.17
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","2,1",C8H15NO6,19.9,0.15,41.4,8.9,51.0,307.8
Carrageenan,Algal,Galactose,None,Mixed,"1,4",C6H10O5,14.0,0.37,46.4,9.0,45.4,435.54
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","2,1",C6H9O7Na,12.7,0.29,46.1,6.7,45.4,733.66
Cellulose,Structural,Glucose,None,"Beta-1,4","1,2",C6H10O5,33.8,1.87,39.2,6.7,47.3,1035.49
Curdlan,Bacterial,Glucose,None,"Beta-1,3",Mixed,C6H9O7Na,92.8,1.06,38.5,5.1,50.8,79.82
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3",Mixed,C8H15NO6,20.3,1.85,49.3,5.4,52.4,2287.2
Inulin,Storage,Fructose,None,"Beta-2,1",Mixed,C8H15NO6,12.5,0.74,41.1,6.0,51.1,5.59
Agar,Algal,Galactose,None,Mixed,"1,4",C6H10O5,0.3,2.01,41.5,8.4,53.5,147.58
Agar,Algal,Galactose,None,Mixed,"1,2",C6H10O5,40.9,1.33,37.3,8.6,53.5,161.28
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","2,1",C6H9O7Na,20.5,2.02,41.5,8.5,48.4,428.11
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","2,1",C8H15NO6,83.8,1.82,40.6,7.8,51.0,328.5
Carrageenan,Algal,Galactose,None,Mixed,"1,3",C8H15NO6,20.7,0.94,41.1,6.0,47.9,459.63
Laminarin,Algal,Glucose,None,"Beta-1,3","1,6",C6H10O5,68.6,1.69,44.7,5.3,52.1,4.28
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,4",C6H9O7Na,38.1,1.47,45.9,8.6,45.9,68.56
Agar,Algal,Galactose,None,Mixed,"1,4",C6H9O7Na,91.2,0.78,37.4,5.9,50.9,150.77
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4",Mixed,C6H11O6,84.6,2.94,40.5,8.0,45.9,348.67
Glycogen,Storage,Glucose,None,"Alpha-1,4/1,6","2,1",C6H10O5,25.0,1.58,38.8,5.6,46.4,784.61
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,3",C8H15NO6,31.2,1.56,38.5,5.4,45.5,2092.77
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,3",C6H9O7Na,54.8,2.83,48.4,5.9,53.1,908.62
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,2",C6H10O5,77.3,0.81,46.7,7.1,52.8,2032.06
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,6",C6H11O6,15.3,2.8,38.7,5.0,53.6,215.98
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4",Mixed,C6H10O5,50.1,2.68,40.9,5.7,49.7,342.23
Agar,Algal,Galactose,None,Mixed,Mixed,C6H9O7Na,57.4,0.84,38.7,5.7,46.1,138.67
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","2,1",C6H10O5,6.7,1.13,35.0,6.8,53.0,105.33
Carrageenan,Algal,Galactose,None,Mixed,"2,1",C8H15NO6,88.9,1.4,44.7,7.1,52.9,511.62
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H9O7Na,52.3,1.22,42.5,7.0,53.0,912.07
Laminarin,Algal,Glucose,None,"Beta-1,3","1,4",C6H9O7Na,11.6,2.71,40.7,6.2,45.2,4.98
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,2",C6H11O6,43.6,1.92,37.2,8.5,52.9,1074.77
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3",Mixed,C6H9O7Na,39.6,0.43,48.5,8.6,47.5,96.98
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H9O7Na,88.2,1.39,41.2,5.2,54.5,2238.22
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","1,4",C6H9O7Na,5.3,1.4,40.8,7.6,49.3,720.63
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4",Mixed,C8H15NO6,4.1,2.94,47.7,5.3,48.3,188.62
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,3",C6H10O5,99.2,0.44,45.7,6.1,45.2,283.84
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H10O5,44.8,1.0,44.2,6.4,48.3,297.72
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","2,1",C6H10O5,88.4,2.28,41.5,7.1,51.7,314.46
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,1",C6H10O5,99.9,0.46,47.4,6.3,52.1,1069.43
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,4",C6H11O6,14.2,2.74,36.4,6.5,48.9,86.26
Dextran,Bacterial,Glucose,None,"Alpha-1,6","1,2",C6H11O6,19.4,1.71,41.3,8.3,46.5,101.41
Inulin,Storage,Fructose,None,"Beta-2,1","1,3",C6H10O5,99.1,0.49,35.6,7.9,52.9,4.58
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","2,6",C8H15NO6,11.4,2.01,47.2,6.4,52.3,1923.27
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H9O7Na,63.2,0.98,37.3,7.7,52.2,221.32
Inulin,Storage,Fructose,None,"Beta-2,1",Mixed,C6H11O6,22.6,0.07,42.3,6.3,50.1,5.0
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,6",C6H10O5,95.2,0.9,47.9,5.4,46.5,917.09
Agar,Algal,Galactose,None,Mixed,"1,3",C8H15NO6,90.5,2.78,45.5,7.0,49.1,145.49
Curdlan,Bacterial,Glucose,None,"Beta-1,3","1,4",C6H9O7Na,8.1,0.49,42.2,8.7,45.7,69.87
Cellulose,Structural,Glucose,None,"Beta-1,4","1,6",C8H15NO6,81.5,0.46,42.1,5.1,54.4,885.47
Agar,Algal,Galactose,None,Mixed,"1,6",C8H15NO6,92.8,1.19,38.2,6.7,47.4,138.45
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,4",C6H11O6,59.8,1.78,47.8,5.4,45.8,2142.46
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","2,1",C8H15NO6,49.3,0.28,49.6,8.2,51.5,17.21
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,6",C6H11O6,3.3,0.87,47.7,7.7,54.2,530.0
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","2,1",C6H10O5,4.0,2.68,40.0,5.2,50.8,1375.75
Laminarin,Algal,Glucose,None,"Beta-1,3","1,2",C6H11O6,79.0,2.69,47.4,7.0,47.7,4.69
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,2",C6H9O7Na,13.9,1.39,47.8,5.6,52.8,311.38
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","2,1",C6H11O6,68.9,0.1,47.8,7.7,51.9,240.48
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","2,1",C6H9O7Na,29.4,2.12,41.0,8.2,47.4,229.08
Dextran,Bacterial,Glucose,None,"Alpha-1,6","2,6",C6H9O7Na,21.1,1.38,45.5,5.1,45.6,111.25
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","1,2",C8H15NO6,12.6,2.17,39.2,6.3,48.2,13.83
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,6",C8H15NO6,12.3,1.93,49.1,7.2,50.9,248.87
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"1,6",C6H10O5,36.4,1.17,40.2,5.2,53.4,3273.26
Carrageenan,Algal,Galactose,None,Mixed,"1,3",C8H15NO6,46.4,2.9,46.8,8.5,49.5,547.37
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,6",C8H15NO6,65.8,2.87,46.3,8.5,46.8,1110.75
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,4",C8H15NO6,9.3,2.63,40.0,5.2,46.4,2007.67
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H11O6,72.1,1.25,46.6,7.5,52.1,239.81
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,4",C6H10O5,10.5,2.31,49.5,5.8,46.5,210.82
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,6",C6H9O7Na,53.1,2.67,49.9,7.4,51.1,980.48
Gellan Gum,Bacterial,Glucose,Rhamnose,Mixed,Mixed,C6H10O5,45.5,2.16,43.2,7.2,52.6,863.35
Pectin,Structural,Galacturonic acid,None,"Alpha-1,4","1,2",C8H15NO6,58.9,2.9,35.9,8.3,49.2,79.13
Laminarin,Algal,Glucose,None,"Beta-1,3","2,1",C6H11O6,92.3,2.5,38.3,6.1,53.9,5.53
Agar,Algal,Galactose,None,Mixed,"2,6",C6H9O7Na,39.5,0.01,38.4,5.9,53.2,138.25
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,6",C6H10O5,95.9,2.41,39.1,8.3,50.5,487.51
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4",Mixed,C6H9O7Na,76.9,1.99,42.4,7.3,50.3,314.87
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,2",C6H11O6,92.6,1.17,45.9,5.7,51.6,854.26
Levan,Bacterial,Fructose,None,"Beta-2,6","1,2",C6H9O7Na,64.7,2.84,35.3,5.5,52.5,1854.92
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,4",C6H9O7Na,41.6,2.72,38.1,5.7,46.0,1355.43
Dextran,Bacterial,Glucose,None,"Alpha-1,6","2,1",C6H10O5,7.6,0.47,36.8,8.7,54.5,86.98
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4",Mixed,C6H9O7Na,96.5,0.34,41.8,5.5,52.7,1083.86
Pullulan,Fungal,Glucose,None,"Alpha-1,4/1,6","2,1",C6H10O5,48.1,1.84,46.8,6.4,45.9,270.88
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"2,1",C6H9O7Na,72.5,2.73,44.3,8.9,52.7,3442.91
Hyaluronic Acid,Bioactive,Glucuronic,Glucosamine,"Beta-1,3","1,3",C6H9O7Na,16.0,2.45,43.0,6.9,54.2,2078.94
Starch,Storage,Glucose,None,"Alpha-1,4/1,6","1,4",C8H15NO6,79.3,1.3,47.1,8.1,49.0,450.13
Laminarin,Algal,Glucose,None,"Beta-1,3","2,6",C8H15NO6,77.3,2.24,36.0,9.0,47.3,5.24
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","1,6",C8H15NO6,38.7,1.93,38.0,5.2,49.5,851.12
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C6H9O7Na,64.9,1.25,47.6,8.9,53.6,175.11
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","2,1",C6H10O5,59.3,1.42,43.3,7.2,52.6,620.15
Cellulose,Structural,Glucose,None,"Beta-1,4",Mixed,C6H9O7Na,24.6,1.61,41.4,5.2,46.1,1131.71
Scleroglucan,Fungal,Glucose,None,"Beta-1,3/1,6","1,3",C6H9O7Na,81.6,3.0,39.2,8.4,54.8,1371.05
Alginate,Algal,Mannuronic,Guluronic,"Beta-1,4","1,2",C8H15NO6,30.8,0.9,35.3,8.9,48.3,212.71
Heparin,Bioactive,Glucosamine,Uronic,"Alpha-1,4","2,1",C6H10O5,36.3,0.29,39.0,6.3,53.9,13.57
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"2,1",C6H10O5,23.2,0.83,47.6,7.2,50.4,3323.33
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"2,1",C6H9O7Na,90.6,1.97,36.5,6.6,54.3,1887.14
Levan,Bacterial,Fructose,None,"Beta-2,6","1,2",C6H9O7Na,26.9,0.16,36.0,8.8,50.9,1764.1
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,2",C8H15NO6,81.0,1.22,36.6,5.6,54.4,246.07
Agar,Algal,Galactose,None,Mixed,"1,2",C6H9O7Na,16.8,1.95,43.5,8.5,51.3,128.26
Xanthan Gum,Bacterial,Glucose,Mannose,Mixed,"2,6",C6H11O6,16.9,2.87,48.0,7.0,54.9,2554.76
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H11O6,49.3,0.71,41.4,7.5,48.9,340.23
Dextran,Bacterial,Glucose,None,"Alpha-1,6","1,4",C6H11O6,40.5,1.77,48.7,6.2,47.5,110.68
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4","2,6",C8H15NO6,25.5,1.82,35.0,5.5,50.9,751.82
Welan Gum,Bacterial,Glucose,Rhamnose,Mixed,"1,3",C6H11O6,81.4,1.74,49.5,6.0,52.1,1838.51
Agar,Algal,Galactose,None,Mixed,"2,6",C6H10O5,73.1,2.05,37.0,5.9,54.6,153.36
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,3",C6H10O5,83.0,0.04,36.6,5.8,46.4,106.73
Chitin,Structural,N-acetylglucosamine,None,"Beta-1,4",Mixed,C6H9O7Na,32.5,1.23,44.9,7.7,49.4,637.33
Fucoidan,Algal,Fucose,Sulfate,"Alpha-1,2/1,3","1,3",C6H11O6,38.9,0.56,45.0,8.8,47.4,99.67
Inulin,Storage,Fructose,None,"Beta-2,1","1,6",C6H10O5,25.2,1.3,37.4,8.1,53.3,5.37
Locust Bean Gum,Storage,Mannose,Galactose,"Beta-1,4","1,4",C6H11O6,41.3,2.64,37.1,6.1,49.3,264.78
Konjac Glucomannan,Storage,Glucose,Mannose,"Beta-1,4","2,1",C6H10O5,58.6,1.04,44.7,6.8,51.9,932.68
Guar Gum,Storage,Mannose,Galactose,"Beta-1,4","1,6",C6H9O7Na,16.0,0.66,48.6,5.1,47.3,219.07
Agar,Algal,Galactose,None,Mixed,"2,1",C6H11O6,11.0,2.16,42.8,7.8,47.7,157.12
