name,category,bioactivity,ic50_ug_ml,minimum_inhibitory_concentration_ug_ml,in_vitro_tested,in_vivo_tested,mechanism,source_organism
Carrageenan,Algal,Antioxidant,60.49,214.17,No,No,Receptor binding,Red Algae
Starch,Storage,Antioxidant,327.03,12.48,Yes,No,Receptor binding,Plants
Glycogen,Storage,Immunostimulant,325.01,369.3,Yes,Yes,Immune modulation,Animals
Dextran,Bacterial,Hepatoprotective,249.84,990.48,Yes,No,Cell wall disruption,Bacteria
Laminarin,Algal,Anticoagulant,490.71,696.47,Yes,No,Receptor binding,Brown Algae
Fucoidan,Algal,Anticoagulant,489.01,666.54,Yes,No,Cell wall disruption,Brown Algae
Laminarin,Algal,Hepatoprotective,224.51,511.27,Yes,Yes,Receptor binding,Brown Algae
Starch,Storage,Hepatoprotective,379.49,124.49,Yes,No,Receptor binding,Plants
Laminarin,Algal,Antifungal,30.06,374.84,No,Yes,Receptor binding,Brown Algae
Carrageenan,Algal,Antitumor,321.06,238.44,No,No,Receptor binding,Red Algae
Inulin,Storage,Anticoagulant,321.84,760.61,No,No,Cell wall disruption,Plants
Agar,Algal,Anticoagulant,171.43,206.21,Yes,Yes,Unknown,Red Algae
Welan Gum,Bacterial,Antitumor,304.07,381.8,No,Yes,Immune modulation,Bacteria
Fucoidan,Algal,Antibacterial,32.4,491.9,Yes,Yes,Unknown,Brown Algae
Heparin,Bioactive,Antitumor,62.87,174.09,Yes,Yes,Radical scavenging,Animals
Glycogen,Storage,Antioxidant,362.52,311.81,Yes,Yes,Immune modulation,Animals
Hyaluronic Acid,Bioactive,Hepatoprotective,124.56,285.71,No,Yes,Enzyme inhibition,Animals/Bacteria
Guar Gum,Storage,Antifungal,475.51,359.9,No,Yes,Immune modulation,Plants
Pullulan,Fungal,Antioxidant,252.7,735.06,Yes,No,Cell wall disruption,Fungi
Konjac Glucomannan,Storage,Antioxidant,213.76,83.69,No,Yes,Radical scavenging,Plants
Gellan Gum,Bacterial,Antiviral,128.72,463.92,No,No,Immune modulation,Bacteria
Cellulose Sulfate,Structural,Hepatoprotective,240.47,333.57,No,Yes,Receptor binding,Plants (Modified)
Xanthan Gum,Bacterial,Antibacterial,6.52,500.95,No,No,Immune modulation,Bacteria
Levan,Bacterial,Antioxidant,485.25,373.46,No,No,Unknown,Bacteria
Curdlan,Bacterial,Antifungal,204.45,39.31,Yes,No,Radical scavenging,Bacteria
Hyaluronic Acid,Bioactive,Antitumor,381.5,957.12,No,No,Unknown,Animals/Bacteria
Welan Gum,Bacterial,Anticoagulant,348.26,651.08,No,Yes,Receptor binding,Bacteria
Guar Gum,Storage,Antibacterial,460.74,361.73,Yes,Yes,Enzyme inhibition,Plants
Laminarin,Algal,Prebiotic,472.14,147.79,Yes,Yes,Cell wall disruption,Brown Algae
Chitin,Structural,Antifungal,322.23,916.92,No,Yes,Radical scavenging,Fungi/Exoskeletons
Xanthan Gum,Bacterial,Antioxidant,83.0,427.16,No,No,Radical scavenging,Bacteria
Dextran,Bacterial,Antioxidant,376.26,924.36,Yes,Yes,Unknown,Bacteria
Curdlan,Bacterial,Anticoagulant,407.13,269.39,Yes,No,Unknown,Bacteria
Dextran,Bacterial,Antibacterial,493.51,816.48,Yes,Yes,Cell wall disruption,Bacteria
Konjac Glucomannan,Storage,Antioxidant,262.53,654.69,No,Yes,Receptor binding,Plants
Alginate,Algal,Antiviral,352.05,198.42,Yes,Yes,Immune modulation,Brown Algae
Curdlan,Bacterial,Antitumor,92.9,59.45,Yes,Yes,Enzyme inhibition,Bacteria
Levan,Bacterial,Prebiotic,313.46,624.61,Yes,Yes,Enzyme inhibition,Bacteria
Glycogen,Storage,Antioxidant,62.43,64.73,Yes,Yes,Immune modulation,Animals
Guar Gum,Storage,Antifungal,4.85,266.45,Yes,Yes,Cell wall disruption,Plants
Xanthan Gum,Bacterial,Anti-inflammatory,395.91,375.98,No,No,Immune modulation,Bacteria
Konjac Glucomannan,Storage,Anticoagulant,302.23,336.88,No,No,Receptor binding,Plants
Alginate,Algal,Antioxidant,189.28,57.71,No,No,Cell wall disruption,Brown Algae
Starch,Storage,Prebiotic,435.28,402.11,Yes,Yes,Radical scavenging,Plants
Chitin,Structural,Anti-inflammatory,139.81,699.41,Yes,No,Immune modulation,Fungi/Exoskeletons
Laminarin,Algal,Prebiotic,257.51,660.4,Yes,No,Cell wall disruption,Brown Algae
Fucoidan,Algal,Anticoagulant,436.73,969.61,No,No,Receptor binding,Brown Algae
Laminarin,Algal,Prebiotic,200.14,612.79,Yes,No,Immune modulation,Brown Algae
Guar Gum,Storage,Antifungal,367.17,294.22,Yes,Yes,Radical scavenging,Plants
Curdlan,Bacterial,Anti-inflammatory,15.97,498.18,Yes,No,Unknown,Bacteria
